fold_year,true,lstm_pred,arima_pred,xgb_pred
2015,160.0,164.58080369750755,161.13472152477098,165.1224
2016,156.0,159.0932959543672,156.41947311011708,160.14767
2017,152.0,154.40378049303519,152.41893450114114,156.15207
2018,148.0,149.7337690219832,148.20183612897145,152.1573
2019,144.0,147.37372539927887,144.0615454126309,148.16504
2020,140.0,142.49383653441507,139.9976310922069,144.1732
2021,136.0,142.49383653441507,135.99892829100676,144.1732
2022,133.0,142.49383653441507,132.03795783630264,144.1732
2023,129.0,134.3129289527934,129.2007383470171,133.2534
2024,126.0,125.21455373131037,125.7523099841799,129.21727
