variable,missing_pct_2000_2024,forecast_tier,is_mdr_cascade_series,stage4_window
tb_incidence_per100k,0.0,forecast_eligible,False,2000-2024_primary
tb_incidence_hiv_pos_per100k,0.04,forecast_eligible,False,2000-2024_primary
tb_new_relapse_notified,0.0,forecast_eligible,False,2000-2024_primary
tb_incident_cases_total,0.0,forecast_eligible,False,2000-2024_primary
tb_incident_cases_children_0_14,0.96,descriptive_only_excluded,False,n/a (Mann-Kendall trend only)
tb_incident_cases_hiv_pos,0.0,forecast_eligible,False,2000-2024_primary
tb_treatment_coverage_pct,0.0,forecast_eligible,False,2000-2024_primary
mdr_rr_tb_estimated_incident,0.6,descriptive_only_excluded,True,n/a (Mann-Kendall trend only)
mdr_rr_tb_confirmed,0.28,forecast_eligible,True,shorter_window_TBD_stage4
mdr_tb_started_treatment,0.32,forecast_eligible,True,shorter_window_TBD_stage4
new_cases_tested_rr_mdr_pct,0.32,forecast_eligible,True,shorter_window_TBD_stage4
prev_treated_tested_rr_mdr_pct,0.32,forecast_eligible,True,shorter_window_TBD_stage4
tx_success_new_pct,0.04,forecast_eligible,False,2000-2024_primary
tx_success_prev_treated_pct,0.16,forecast_eligible,False,2000-2024_primary
tx_success_mdr_pct,0.48,forecast_eligible,True,shorter_window_TBD_stage4
tx_success_xdr_pct,0.8,descriptive_only_excluded,True,n/a (Mann-Kendall trend only)
tx_success_hiv_pos_pct,0.28,forecast_eligible,False,2000-2024_primary
tb_known_hiv_status_pct,0.12,forecast_eligible,False,2000-2024_primary
tb_tested_hiv_positive_pct,0.12,forecast_eligible,False,2000-2024_primary
tb_hiv_pos_on_art_pct,0.16,forecast_eligible,False,2000-2024_primary
hiv_prevalence_adult_15_49_pct,0.0,forecast_eligible,False,2000-2024_primary
art_coverage_plhiv_pct,0.0,forecast_eligible,False,2000-2024_primary
gghe_d_pct_gdp,0.08,forecast_eligible,False,2000-2024_primary
medical_doctors_density,0.28,forecast_eligible,False,2000-2024_primary
life_expectancy_years,0.12,forecast_eligible,False,2000-2024_primary
