variable,n_years,mean,sd,min,max,first_year,last_year
tb_incidence_per100k,25,172.96,29.47,126.0,216.0,2000,2024
tb_incidence_hiv_pos_per100k,24,44.25,18.02,14.0,86.0,2000,2023
tb_new_relapse_notified,25,14082.96,2151.94,10933.0,20009.0,2000,2024
tb_incident_cases_total,25,45160.0,1280.62,42000.0,47000.0,2000,2024
tb_treatment_coverage_pct,25,31.28,5.0,26.0,46.0,2000,2024
tx_success_new_pct,24,77.71,11.64,50.0,90.0,2000,2023
tx_success_prev_treated_pct,21,72.14,14.09,37.0,90.0,2003,2023
hiv_prevalence_adult_15_49_pct,25,1.94,0.32,1.5,2.6,2000,2024
art_coverage_plhiv_pct,25,19.88,16.55,0.0,47.0,2000,2024
gghe_d_pct_gdp,23,1.67,0.52,0.7,2.53,2000,2022
life_expectancy_years,22,62.44,2.51,59.09,66.18,2000,2021
